host_id,host_name,host_since,is_superhost,response_rate,created_at
181,Autumn Wood,10/17/2019,TRUE,82,15:54.0
182,Julie Bass,5/22/2016,FALSE,85,15:54.0
183,Bob Boyd,12/26/2015,TRUE,78,15:54.0
184,William Wright,1/25/2018,FALSE,77,15:54.0
185,Beth Nguyen,1/27/2019,TRUE,72,15:54.0
186,Lauren Mueller,6/4/2024,TRUE,70,15:54.0
187,Regina Lee,12/3/2023,TRUE,99,15:54.0
188,Danielle Houston,8/13/2021,TRUE,80,15:54.0
189,Chris Ruiz,9/16/2024,TRUE,89,15:54.0
190,Rachel Ochoa,12/5/2017,FALSE,85,15:54.0
191,Jessica Lewis,3/5/2019,FALSE,77,15:54.0
192,Kristen Peterson,1/10/2022,FALSE,98,15:54.0
193,Alexander Rogers,6/3/2023,TRUE,94,15:54.0
194,Katrina Flores,7/28/2020,FALSE,81,15:54.0
195,William Jackson,6/2/2017,FALSE,84,15:54.0
196,Michael Spencer,9/30/2018,FALSE,100,15:54.0
197,Phillip Ross,9/5/2021,FALSE,71,15:54.0
198,Tracy Baird,3/9/2023,TRUE,94,15:54.0
199,Susan Armstrong,4/29/2019,FALSE,97,15:54.0
200,Bryan Cruz,10/1/2024,FALSE,83,15:54.0
